person,label
00091926,0.6121943
00091a7a,0.7447547
000ba417,0.6794896
000e4d9e,0.46227613
000e619d,0.10789518
001001be,0.12690498
0010e89a,0.037902564
0016c4b5,0.037902564
001804a2,0.19903482
001a2273,0.05392242
00202cdb,0.064251676
0022965d,0.47480598
0027574e,0.46362734
00295d74,0.18263379
002aea56,0.21946616
002ed810,0.5890093
002fb981,0.365051
00344873,0.05202189
0038a117,0.9330171
003a05bf,0.07750528
003d07ef,0.7462144
003e7507,0.05202189
00408349,0.0961917
0041fec6,0.120047234
0043a48e,0.06500091
00546f4c,0.1956406
00556ee5,0.08664142
0059a996,0.7976141
005af223,0.6496165
005e06ef,0.07297448
0061cbe8,0.50031483
006549da,0.21821657
006bb312,0.037113264
006cabc5,0.72459555
006e1534,0.04569697
006fc943,0.8013729
00750af8,0.24726559
00754f5e,0.10079444
0076b7dc,0.22667268
007743ca,0.06280533
007a0564,0.096076764
0081cd73,0.044982236
0081f590,0.06671272
008287e4,0.15382968
0083c22c,0.08435095
0087d959,0.8400109
0089421c,0.8308879
008a6d00,0.15482177
008b4a48,0.074918576
008f480f,0.6907723
008f739f,0.34093356
009648f0,0.8398133
00970caa,0.20802467
009944e1,0.34073606
009f8292,0.22104238
00a2efc2,0.18049198
00af50bb,0.1537871
00b0fe02,0.05202189
00b1b9d0,0.7795041
00b5303d,0.4444196
00b6642b,0.23630664
00b8bba9,0.22838198
00caa482,0.8638075
00cd1373,0.60181594
00cde0db,0.24629915
00d618ba,0.50263214
00d8d869,0.070409186
00dcc618,0.12977608
00e0e219,0.135832
00e2e06b,0.1426199
00f1575c,0.721358
00f369ef,0.28532526
00f4620f,0.10248562
00f5c8be,0.91191524
00fd99c6,0.0804781
00ff2c51,0.20027041
010200b5,0.2489734
01022bf3,0.3186651
01039bf1,0.3497365
010750dc,0.6504513
01094049,0.3263782
010b0b0b,0.74558365
010f9396,0.11530294
01102549,0.02106932
01126aa4,0.02520229
01127f1d,0.035572793
01183209,0.06418899
0121c41e,0.47426447
0126d440,0.03675235
0129072b,0.06280533
012af91b,0.083154306
012b81de,0.6257908
012cd55c,0.05799451
012d8fd8,0.40716693
0137a57b,0.32906598
013a0e3a,0.7817264
013dc935,0.04334259
013e1cd0,0.17365764
013ef20d,0.05096721
013fce70,0.03706539
0144bd58,0.8586906
0146ecbc,0.062384892
014853d4,0.50300044
015fb139,0.15163358
01638753,0.8691267
0163bf88,0.13963003
016419e1,0.097940594
01696aab,0.88319516
016b86b9,0.75615996
016d0c8f,0.65444267
016f3833,0.27712637
01716e05,0.10705645
01798556,0.2367133
017a84d1,0.08996717
017d35dc,0.2621382
017fd805,0.41808066
018598e8,0.21229272
018adf26,0.8916076
018c1154,0.20240024
0190f87d,0.3818678
019425a8,0.91782314
0196054a,0.8254266
01984bc3,0.110197105
019ac712,0.037902564
01a20e81,0.08012478
01ab5296,0.112179354
01ac5844,0.19638418
01ad4042,0.8369211
01ada784,0.2708328
01af6573,0.8574478
01b08442,0.13413113
01b09758,0.21274705
01b97cb9,0.68098277
01be1d14,0.11828801
01c3addd,0.8236825
01c862be,0.052759614
01c9f8d2,0.19842379
01caf5bf,0.6552544
01cbe6b3,0.04272458
01cd8ca8,0.15467945
01d18619,0.12577721
01d28bce,0.23330419
01d8711d,0.82654935
01dfb178,0.7682669
01e18191,0.0317547
01f061eb,0.92076737
01f8fa5b,0.19313312
01fe7232,0.1679132
01ffa003,0.664209
0205d5c1,0.21885858
020b50dc,0.43394396
021b35b5,0.09534815
021f11c8,0.34463474
02208eb6,0.07939715
0222570f,0.10343195
0225de65,0.07538199
02274195,0.06054996
02285678,0.69647104
0228b475,0.055538647
022bd951,0.029530603
022c083c,0.6598398
022ca64b,0.54373574
0233c7ed,0.26338717
