,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
16,0019e639,2,7,123,5.0,1.0,5.0,19,359.0,9,9,471,0.0
19,001b0bf9,1,1,9,0.0,0.0,0.0,1,7.0,9,9,7,0.0
20,001ca5ee,0,96,88,52.0,6.0,31.0,15,54.0,88,8,96,0.0
21,001dfc31,0,35,104,18.0,4.0,16.0,4,17.0,104,2,35,0.0
22,001e9aea,0,54,77,17.0,6.0,11.0,7,5.0,77,9,54,0.0
42,003476c0,0,43,107,6.0,2.0,3.0,4,14.0,107,19,43,1.0
43,003847fc,0,102,14,32.0,7.0,9.0,22,102.0,14,0,102,0.0
48,003bdb4d,0,5,16,1.0,1.0,1.0,1,5.0,16,16,5,0.0
50,003d4cac,0,8,69,2.0,2.0,2.0,3,0.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,1,5.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,2,0.0,90,51,22,1.0
77,006671fd,0,18,33,15.0,5.0,11.0,2,0.0,33,33,18,1.0
82,00702e02,0,75,16,55.0,4.0,25.0,3,75.0,16,13,75,0.0
86,007537e8,0,12,12,6.0,1.0,4.0,2,12.0,12,5,12,0.0
120,00a91f61,0,30,62,6.0,1.0,4.0,3,0.0,62,35,30,0.0
125,00b2b269,0,40,8,13.0,1.0,6.0,2,40.0,8,8,40,0.0
134,00c40a4b,0,17,1,2.0,1.0,2.0,1,17.0,1,1,17,0.0
147,00d21f5e,0,8,13,3.0,1.0,2.0,2,8.0,13,1,8,0.0
157,00ea5497,0,58,53,24.0,8.0,17.0,11,48.0,53,11,58,0.0
163,00f49191,0,165,23,117.0,46.0,67.0,8,165.0,23,0,165,0.0
172,010358c1,0,13,9,9.0,1.0,5.0,1,13.0,9,9,13,0.0
178,01083011,0,4,7,1.0,1.0,1.0,1,4.0,7,7,4,0.0
186,01118279,0,2,13,0.0,0.0,0.0,1,2.0,13,13,2,0.0
206,01319a6d,0,56,3,35.0,2.0,20.0,9,56.0,3,0,56,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,1,24.0,2,2,24,1.0
240,0165db0d,0,61,100,6.0,4.0,4.0,12,38.0,100,1,61,0.0
252,016efcb7,0,140,61,60.0,11.0,32.0,8,72.0,61,14,140,0.0
266,01855dab,0,88,11,32.0,17.0,25.0,2,88.0,11,10,88,0.0
270,018954fd,0,50,19,8.0,5.0,6.0,3,50.0,19,13,50,0.0
298,01b65cfa,0,25,8,12.0,1.0,5.0,3,25.0,8,6,25,0.0
301,01b91332,0,27,12,17.0,3.0,13.0,1,27.0,12,12,27,0.0
308,01c6281f,0,19,22,6.0,6.0,6.0,1,19.0,22,22,19,0.0
322,01e2b6b0,0,47,2,20.0,8.0,10.0,2,47.0,2,1,47,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,1,7.0,9,9,7,1.0
326,01edff26,0,18,8,12.0,2.0,7.0,1,18.0,8,8,18,0.0
328,01f12f08,0,11,16,3.0,1.0,1.0,2,11.0,16,16,11,0.0
331,01f24fc9,0,210,21,142.0,29.0,85.0,17,210.0,21,1,210,0.0
333,01f38aae,1,11,18,10.0,1.0,7.0,7,58.0,8,8,58,0.0
338,01fee5bd,0,12,16,3.0,1.0,2.0,1,12.0,16,16,12,0.0
342,02005e21,1,7,15,2.0,2.0,2.0,11,50.0,14,14,50,0.0
344,0204dcec,0,38,14,16.0,2.0,9.0,2,38.0,14,13,38,0.0
354,021ececb,0,15,6,10.0,1.0,5.0,1,15.0,6,6,15,0.0
358,022260de,0,29,31,13.0,4.0,9.0,4,29.0,31,2,29,0.0
368,0228c93a,0,87,18,56.0,6.0,27.0,7,87.0,18,11,87,0.0
382,0235896a,0,36,10,28.0,15.0,22.0,1,36.0,10,10,36,0.0
405,026b4007,0,4,9,1.0,1.0,1.0,1,4.0,9,9,4,0.0
448,02875920,0,29,57,7.0,3.0,6.0,4,22.0,57,7,29,1.0
450,02878a11,0,16,19,4.0,1.0,2.0,2,16.0,19,12,16,0.0
453,028f05c4,0,20,3,8.0,4.0,7.0,2,20.0,3,2,20,0.0
462,02a11379,0,72,145,35.0,10.0,20.0,4,27.0,145,2,72,0.0
474,02aaf943,0,8,49,3.0,1.0,1.0,2,0.0,49,47,8,0.0
481,02b8d9d5,0,21,35,10.0,3.0,9.0,2,12.0,35,0,21,0.0
483,02ba82a5,0,1,8,0.0,0.0,0.0,1,1.0,8,8,1,0.0
488,02c30caa,1,20,8,0.0,0.0,0.0,17,49.0,8,0,49,0.0
490,02c3960c,1,2,15,1.0,1.0,1.0,1,7.0,15,15,7,0.0
501,02d93f65,0,26,2,15.0,1.0,5.0,3,26.0,2,1,26,0.0
515,02ea26c5,0,21,10,7.0,4.0,4.0,1,21.0,10,10,21,0.0
517,02ec2f23,0,20,14,12.0,4.0,8.0,2,20.0,14,11,20,0.0
536,02ff33f4,0,4,6,1.0,1.0,1.0,1,4.0,6,6,4,0.0
540,03066c47,0,6,3,1.0,1.0,1.0,1,6.0,3,3,6,0.0
555,031ee7cc,0,42,1,13.0,1.0,3.0,2,42.0,1,0,42,0.0
575,0341c285,0,12,16,3.0,1.0,2.0,2,12.0,16,16,12,0.0
