,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
42,003476c0,0,43,107,6.0,2.0,3.0,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,90,51,22,1.0
62,004ed8ba,1,74,93,23.0,12.0,17.0,52,6,228,0.0
77,006671fd,0,18,33,15.0,5.0,11.0,33,33,18,1.0
132,00c2307c,0,83,58,71.0,8.0,30.0,58,2,83,0.0
136,00c9a4eb,0,7,0,4.0,1.0,3.0,0,0,7,0.0
172,010358c1,0,13,9,9.0,1.0,5.0,9,9,13,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,2,2,24,1.0
220,0145565a,0,61,63,38.0,11.0,29.0,63,0,61,0.0
259,0178b595,0,436,22,294.0,8.0,67.0,22,8,436,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,9,9,7,1.0
334,01f68b1f,0,4,2,1.0,1.0,1.0,2,2,4,0.0
354,021ececb,0,15,6,10.0,1.0,5.0,6,6,15,0.0
405,026b4007,0,4,9,1.0,1.0,1.0,9,9,4,0.0
448,02875920,0,29,57,7.0,3.0,6.0,57,7,29,1.0
511,02e5a11c,0,13,14,4.0,1.0,2.0,14,14,13,0.0
577,03421604,0,16,2,4.0,1.0,1.0,2,2,16,0.0
592,0353af22,1,41,136,16.0,8.0,8.0,11,2,184,0.0
608,036d3644,0,68,2,51.0,5.0,19.0,2,1,68,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,48,5,37,1.0
640,03a67237,0,13,2,2.0,1.0,1.0,2,2,13,0.0
662,03bfba07,2,7,63,4.0,3.0,4.0,0,0,171,0.0
675,03c815a4,0,10,19,3.0,1.0,2.0,19,16,10,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,1,1,5,1.0
696,03e36bd0,0,4,13,1.0,1.0,1.0,13,13,4,0.0
702,03ea1c12,0,64,9,42.0,3.0,21.0,9,3,64,0.0
718,04034ae8,0,47,29,16.0,7.0,11.0,29,9,47,0.0
720,0404e68f,0,168,70,80.0,12.0,45.0,70,12,168,1.0
738,041dc456,0,8,15,5.0,1.0,2.0,15,15,8,1.0
747,042bd446,0,83,44,65.0,7.0,36.0,44,15,83,0.0
774,043ec736,1,324,102,99.0,38.0,65.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,5,5,89,1.0
