,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
23,0020152e,0,8,24,2.0,2.0,2.0,24,1,9,0.0
33,002b0188,0,38,76,12.0,9.0,11.0,76,14,38,0.0
40,0031c75f,0,56,0,26.0,6.0,10.0,0,0,56,0.0
42,003476c0,0,43,107,6.0,2.0,3.0,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,90,51,22,1.0
77,006671fd,0,18,33,15.0,5.0,11.0,33,33,18,1.0
125,00b2b269,0,40,8,13.0,1.0,6.0,8,8,40,0.0
130,00bc3bed,0,32,3,14.0,2.0,5.0,3,2,32,0.0
195,011fbf97,0,86,70,16.0,1.0,6.0,70,12,86,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,2,2,24,1.0
238,0165b04a,0,5,4,2.0,2.0,2.0,4,4,5,0.0
297,01b47d4f,0,29,21,5.0,2.0,2.0,21,16,29,0.0
298,01b65cfa,0,25,8,12.0,1.0,5.0,8,6,25,0.0
316,01cf1230,0,28,16,11.0,3.0,7.0,16,12,28,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,9,9,7,1.0
340,01ffc611,0,7,10,1.0,1.0,1.0,10,10,7,0.0
372,022c05dd,0,16,11,6.0,3.0,5.0,11,10,16,0.0
404,02694196,0,44,10,25.0,5.0,15.0,10,1,44,0.0
448,02875920,0,29,57,7.0,3.0,6.0,57,7,29,1.0
557,0321ecd6,0,75,24,34.0,14.0,26.0,24,4,75,0.0
575,0341c285,0,12,16,3.0,1.0,2.0,16,16,12,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,48,5,37,1.0
611,03759a7b,0,8,9,2.0,1.0,1.0,9,9,8,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,1,1,5,1.0
693,03dde3a4,0,4,6,1.0,1.0,1.0,6,6,4,0.0
713,03f9eb63,0,29,12,10.0,5.0,8.0,12,9,29,0.0
720,0404e68f,0,168,70,80.0,12.0,45.0,70,12,168,1.0
722,0406c39e,0,8,13,2.0,1.0,1.0,13,13,8,0.0
738,041dc456,0,8,15,5.0,1.0,2.0,15,15,8,1.0
774,043ec736,1,324,102,99.0,38.0,65.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,5,5,89,1.0
883,04bbc907,0,343,113,213.0,22.0,66.0,113,37,343,1.0
886,04c39d24,0,88,119,53.0,14.0,33.0,119,1,88,0.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,75,12,23,1.0
912,04ee8093,0,28,26,15.0,6.0,13.0,26,4,28,0.0
921,0509bcf4,0,60,2,13.0,9.0,12.0,2,0,60,0.0
