,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
42,003476c0,0,43,107,6.0,2.0,3.0,107,19,43,1.0
43,003847fc,0,102,14,32.0,7.0,9.0,14,0,102,0.0
50,003d4cac,0,8,69,2.0,2.0,2.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,90,51,22,1.0
63,0050d971,0,12,13,4.0,1.0,2.0,13,4,12,0.0
77,006671fd,0,18,33,15.0,5.0,11.0,33,33,18,1.0
83,00736d10,0,120,126,93.0,8.0,43.0,126,3,120,0.0
109,00971729,1,19,13,14.0,2.0,8.0,6,6,89,0.0
137,00ca06d3,0,20,11,13.0,4.0,11.0,11,8,20,0.0
157,00ea5497,0,58,53,24.0,8.0,17.0,53,11,58,0.0
194,011e43e5,0,10,10,4.0,1.0,3.0,10,10,10,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,2,2,24,1.0
252,016efcb7,0,140,61,60.0,11.0,32.0,61,14,140,0.0
296,01b12d02,0,14,15,8.0,7.0,8.0,15,15,14,0.0
298,01b65cfa,0,25,8,12.0,1.0,5.0,8,6,25,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,9,9,7,1.0
326,01edff26,0,18,8,12.0,2.0,7.0,8,8,18,0.0
329,01f20b0a,0,201,87,140.0,22.0,77.0,87,1,201,0.0
340,01ffc611,0,7,10,1.0,1.0,1.0,10,10,7,0.0
348,02103564,0,655,58,497.0,40.0,177.0,58,0,655,0.0
448,02875920,0,29,57,7.0,3.0,6.0,57,7,29,1.0
449,0287661f,0,69,25,30.0,9.0,16.0,25,13,69,0.0
468,02a88a33,0,44,15,27.0,2.0,17.0,15,9,44,0.0
582,034aee83,0,31,32,17.0,3.0,16.0,32,19,31,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,48,5,37,1.0
614,037b36f8,0,34,86,8.0,1.0,5.0,86,1,34,0.0
620,03836d05,0,29,6,19.0,5.0,11.0,6,6,29,0.0
667,03c2b649,0,45,0,34.0,7.0,21.0,0,0,45,0.0
674,03c81048,0,8,9,2.0,1.0,1.0,9,9,8,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,1,1,5,1.0
712,03f9455b,0,7,9,4.0,1.0,3.0,9,9,7,0.0
720,0404e68f,0,168,70,80.0,12.0,45.0,70,12,168,1.0
734,041a0301,0,68,2,46.0,4.0,15.0,2,2,68,0.0
738,041dc456,0,8,15,5.0,1.0,2.0,15,15,8,1.0
747,042bd446,0,83,44,65.0,7.0,36.0,44,15,83,0.0
772,043da730,0,4,3,1.0,1.0,1.0,3,3,4,0.0
774,043ec736,1,324,102,99.0,38.0,65.0,64,31,568,1.0
777,0446080d,0,161,16,114.0,17.0,70.0,16,15,161,0.0
793,0457712f,2,2,111,1.0,1.0,1.0,5,5,89,1.0
804,046efad8,0,57,16,40.0,9.0,26.0,16,12,57,0.0
819,047bf4c8,0,120,30,39.0,6.0,23.0,30,0,120,0.0
850,049a9e4a,0,155,24,57.0,8.0,23.0,24,10,155,0.0
883,04bbc907,0,343,113,213.0,22.0,66.0,113,37,343,1.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,75,12,23,1.0
906,04e48a72,0,8,8,2.0,1.0,1.0,8,7,8,0.0
928,0515aca9,0,325,76,187.0,15.0,67.0,76,2,325,0.0
930,0518b8f2,0,31,79,26.0,3.0,13.0,79,2,31,0.0
934,052078d1,0,41,120,29.0,1.0,11.0,120,43,41,1.0
968,05473316,0,29,14,8.0,3.0,5.0,14,13,29,0.0
982,05596145,0,68,7,37.0,5.0,11.0,7,1,68,1.0
1022,059f4e3c,0,14,70,3.0,2.0,3.0,70,70,14,0.0
1025,05a5137c,0,23,14,13.0,6.0,9.0,14,14,23,0.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,123,1,129,1.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,107,35,124,1.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,11,224,1.0
1078,06077235,0,6,2,1.0,1.0,1.0,2,2,6,0.0
1152,0689e931,0,6,3,2.0,1.0,1.0,3,3,6,0.0
1157,068c6888,0,65,55,40.0,9.0,21.0,55,11,65,0.0
1161,0694a7e5,0,4,9,1.0,1.0,1.0,9,9,4,0.0
1176,069cff7b,0,78,16,43.0,4.0,27.0,16,8,78,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,27,27,8,1.0
1187,06b00a11,0,11,2,2.0,2.0,2.0,2,2,11,0.0
1228,06d54c8f,0,61,7,28.0,5.0,21.0,7,1,61,0.0
1232,06dcde6c,0,16,23,4.0,3.0,3.0,23,0,16,0.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,17,0,125,1.0
1255,06fba151,0,21,2,8.0,2.0,4.0,2,2,21,0.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,15,6,31,1.0
1287,073e697a,0,39,49,7.0,3.0,7.0,49,13,39,1.0
1332,07932a1f,0,16,6,3.0,1.0,3.0,6,5,16,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,139,2,634,1.0
1359,07b331d6,0,18,15,4.0,1.0,2.0,15,10,18,0.0
1362,07b89976,0,48,4,44.0,3.0,21.0,4,4,48,0.0
