,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
42,003476c0,0,43,107,6.0,2.0,3.0,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,90,51,22,1.0
77,006671fd,0,18,33,15.0,5.0,11.0,33,33,18,1.0
217,0143d796,0,24,2,18.0,3.0,13.0,2,2,24,1.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,9,9,7,1.0
448,02875920,0,29,57,7.0,3.0,6.0,57,7,29,1.0
610,03754d73,0,37,48,1.0,1.0,1.0,48,5,37,1.0
676,03c99f07,0,43,2,6.0,3.0,5.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,1,1,5,1.0
720,0404e68f,0,168,70,80.0,12.0,45.0,70,12,168,1.0
738,041dc456,0,8,15,5.0,1.0,2.0,15,15,8,1.0
774,043ec736,1,324,102,99.0,38.0,65.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,5,5,89,1.0
883,04bbc907,0,343,113,213.0,22.0,66.0,113,37,343,1.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,75,12,23,1.0
934,052078d1,0,41,120,29.0,1.0,11.0,120,43,41,1.0
982,05596145,0,68,7,37.0,5.0,11.0,7,1,68,1.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,123,1,129,1.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,107,35,124,1.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,11,224,1.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,27,27,8,1.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,17,0,125,1.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,15,6,31,1.0
1287,073e697a,0,39,49,7.0,3.0,7.0,49,13,39,1.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,139,2,634,1.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,134,1,276,1.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,2,2,75,1.0
1470,084482af,0,53,24,20.0,9.0,14.0,24,2,53,1.0
1640,09412658,0,8,0,1.0,1.0,1.0,0,0,8,1.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,11,9,16,1.0
