,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
42,003476c0,0,43,107,6.0,2.0,3.0,4,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,3,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,1,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,2,90,51,22,1.0
63,0050d971,0,12,13,4.0,1.0,2.0,3,13,4,12,0.0
77,006671fd,0,18,33,15.0,5.0,11.0,2,33,33,18,1.0
113,009cbfb2,0,34,15,25.0,1.0,10.0,1,15,15,34,0.0
137,00ca06d3,0,20,11,13.0,4.0,11.0,2,11,8,20,0.0
167,00fa4cd7,2,27,9,6.0,4.0,4.0,17,6,0,98,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,1,2,2,24,1.0
231,015f1a84,0,105,7,70.0,18.0,50.0,3,7,6,105,0.0
240,0165db0d,0,61,100,6.0,4.0,4.0,12,100,1,61,0.0
241,01692bd2,0,4,10,1.0,1.0,1.0,1,10,10,4,0.0
244,016a78e4,1,2,11,1.0,1.0,1.0,13,1,1,163,0.0
291,01add051,0,8,3,4.0,1.0,4.0,1,3,3,8,0.0
305,01c0bf0e,0,11,2,2.0,2.0,2.0,2,2,2,11,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,1,9,9,7,1.0
336,01fcd7ca,0,3,11,0.0,0.0,0.0,1,11,11,3,0.0
402,02633ebf,0,31,0,6.0,3.0,4.0,2,0,0,31,0.0
403,02648ca1,0,12,35,6.0,2.0,5.0,1,35,35,12,0.0
448,02875920,0,29,57,7.0,3.0,6.0,4,57,7,29,1.0
458,0299c90c,0,8,15,3.0,2.0,3.0,1,15,15,8,0.0
500,02d90731,0,5,2,3.0,2.0,3.0,1,2,2,5,0.0
516,02eb0a9e,0,67,8,31.0,6.0,19.0,1,8,8,67,0.0
520,02ecfb15,1,3,7,1.0,1.0,1.0,1,7,7,4,0.0
580,03490d00,0,13,15,7.0,1.0,5.0,1,15,15,13,0.0
587,034ec132,0,18,22,5.0,1.0,2.0,2,22,8,18,0.0
607,036cdf5a,0,33,15,7.0,4.0,5.0,4,15,12,33,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,7,48,5,37,1.0
611,03759a7b,0,8,9,2.0,1.0,1.0,1,9,9,8,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,4,2,0,43,1.0
685,03d85b53,0,25,3,10.0,3.0,7.0,2,3,2,25,0.0
691,03db7c49,3,1,1,0.0,0.0,0.0,2,1,1,5,1.0
697,03e36bd0,0,4,13,1.0,1.0,1.0,1,13,13,4,0.0
709,03f4ffdf,0,16,2,6.0,3.0,5.0,1,2,2,16,0.0
718,04026e6d,0,54,21,13.0,2.0,10.0,3,21,14,54,0.0
721,0404e68f,0,168,70,80.0,12.0,45.0,14,70,12,168,1.0
733,041627fe,0,344,140,172.0,35.0,108.0,28,140,6,344,0.0
739,041dc456,0,8,15,5.0,1.0,2.0,1,15,15,8,1.0
775,043ec736,1,324,102,99.0,38.0,65.0,52,64,31,568,1.0
794,0457712f,2,2,111,1.0,1.0,1.0,14,5,5,89,1.0
801,046642cb,0,28,13,13.0,1.0,6.0,4,13,2,28,0.0
812,047286c8,0,37,9,15.0,4.0,11.0,2,9,6,37,0.0
849,049392e4,0,26,5,8.0,7.0,8.0,1,5,5,26,0.0
