,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
42,003476c0,0,43,107,6.0,2.0,3.0,4,14.0,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,3,0.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,1,5.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,2,0.0,90,51,22,1.0
62,004ed8ba,1,74,93,23.0,12.0,17.0,47,67.0,52,6,228,0.0
77,006671fd,0,18,33,15.0,5.0,11.0,2,0.0,33,33,18,1.0
82,00702e02,0,75,16,55.0,4.0,25.0,3,75.0,16,13,75,0.0
92,007ddac1,0,7,9,2.0,1.0,1.0,1,7.0,9,9,7,0.0
132,00c2307c,0,83,58,71.0,8.0,30.0,3,31.0,58,2,83,0.0
167,00fa4cd7,2,28,9,6.0,4.0,4.0,20,98.0,8,0,98,0.0
208,0132a515,0,10,3,7.0,2.0,4.0,1,10.0,3,3,10,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,1,24.0,2,2,24,1.0
244,016a78e4,1,2,11,1.0,1.0,1.0,16,163.0,1,1,163,0.0
299,01b79980,0,40,20,31.0,6.0,17.0,2,40.0,20,7,40,0.0
316,01cf1230,0,28,16,11.0,3.0,7.0,3,28.0,16,12,28,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,1,7.0,9,9,7,1.0
338,01fee5bd,0,12,16,3.0,1.0,2.0,1,12.0,16,16,12,0.0
344,0204dcec,0,38,14,16.0,2.0,9.0,2,38.0,14,13,38,0.0
375,023039b3,0,49,87,37.0,4.0,20.0,4,30.0,87,14,49,0.0
448,02875920,0,29,57,7.0,3.0,6.0,4,22.0,57,7,29,1.0
453,028f05c4,0,20,3,8.0,4.0,7.0,2,20.0,3,2,20,0.0
468,02a88a33,0,44,15,27.0,2.0,17.0,3,44.0,15,9,44,0.0
497,02d1f846,0,4,8,1.0,1.0,1.0,1,4.0,8,8,4,0.0
522,02f01ea9,0,19,11,11.0,3.0,7.0,1,19.0,11,11,19,0.0
554,031e80e3,0,18,10,2.0,1.0,1.0,2,18.0,10,10,18,0.0
576,0341e2a2,0,52,60,31.0,4.0,9.0,15,40.0,60,3,52,0.0
589,0352d9b3,0,43,41,21.0,6.0,14.0,5,0.0,41,39,43,0.0
599,03630617,0,43,17,8.0,7.0,8.0,3,43.0,17,6,43,0.0
602,036647bb,0,22,7,12.0,9.0,10.0,3,22.0,7,6,22,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,7,9.0,48,5,37,1.0
615,037bf2d2,0,46,25,18.0,3.0,14.0,4,46.0,25,20,46,0.0
641,03a67b1c,0,89,1,24.0,8.0,16.0,2,89.0,1,0,89,0.0
647,03ae7227,0,3,10,0.0,0.0,0.0,1,3.0,10,10,3,0.0
666,03c2b5c1,3,29,59,18.0,5.0,12.0,26,267.0,2,1,325,0.0
669,03c58152,0,4,2,1.0,1.0,1.0,1,4.0,2,2,4,0.0
670,03c5f42d,0,4,7,1.0,1.0,1.0,1,4.0,7,7,4,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,5,43.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,3,5.0,1,1,5,1.0
706,03f124c5,0,31,14,19.0,2.0,13.0,2,31.0,14,2,31,0.0
718,04034ae8,0,47,29,16.0,7.0,11.0,3,47.0,29,9,47,0.0
720,0404e68f,0,168,70,80.0,12.0,45.0,15,18.0,70,12,168,1.0
738,041dc456,0,8,15,5.0,1.0,2.0,1,8.0,15,15,8,1.0
774,043ec736,1,325,102,99.0,38.0,65.0,67,21.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,14,38.0,5,5,89,1.0
807,04704db7,0,23,13,11.0,4.0,8.0,3,23.0,13,5,23,0.0
817,0478a958,0,6,1,2.0,2.0,2.0,1,6.0,1,1,6,0.0
849,04993f2b,0,8,0,2.0,1.0,1.0,1,8.0,0,0,8,0.0
858,049da6d9,0,11,4,3.0,1.0,2.0,1,11.0,4,4,11,0.0
866,04a68895,0,26,2,18.0,7.0,13.0,1,26.0,2,2,26,0.0
883,04bbc907,0,343,113,213.0,22.0,66.0,47,0.0,113,37,343,1.0
892,04cfa3c4,0,21,16,6.0,2.0,3.0,2,21.0,16,8,21,0.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,2,15.0,75,12,23,1.0
904,04dfc05f,0,52,8,39.0,3.0,17.0,5,52.0,8,8,52,0.0
932,051bee61,0,66,12,50.0,7.0,20.0,4,66.0,12,10,66,0.0
934,052078d1,0,41,120,29.0,1.0,11.0,4,0.0,120,43,41,1.0
